size,type,time
10000,iloczyn_skalarny,1.3458e-5
10000,iloczyn_skalarny,5.916e-6
10000,iloczyn_skalarny,4.708e-6
10000,iloczyn_skalarny,4.709e-6
10000,iloczyn_skalarny,4.708e-6
10000,iloczyn_skalarny,4.709e-6
10000,iloczyn_skalarny,4.708e-6
10000,iloczyn_skalarny,4.709e-6
10000,iloczyn_skalarny,4.709e-6
10000,iloczyn_skalarny,4.667e-6
20000,iloczyn_skalarny,9.417e-6
20000,iloczyn_skalarny,9.458e-6
20000,iloczyn_skalarny,9.417e-6
20000,iloczyn_skalarny,9.333e-6
20000,iloczyn_skalarny,9.333e-6
20000,iloczyn_skalarny,9.375e-6
20000,iloczyn_skalarny,9.375e-6
20000,iloczyn_skalarny,9.417e-6
20000,iloczyn_skalarny,9.375e-6
20000,iloczyn_skalarny,9.375e-6
30000,iloczyn_skalarny,1.4084e-5
30000,iloczyn_skalarny,1.4084e-5
30000,iloczyn_skalarny,1.4083e-5
30000,iloczyn_skalarny,1.4125e-5
30000,iloczyn_skalarny,1.4083e-5
30000,iloczyn_skalarny,1.4041e-5
30000,iloczyn_skalarny,1.4041e-5
30000,iloczyn_skalarny,1.4083e-5
30000,iloczyn_skalarny,1.4084e-5
30000,iloczyn_skalarny,1.4041e-5
40000,iloczyn_skalarny,1.8708e-5
40000,iloczyn_skalarny,1.8792e-5
40000,iloczyn_skalarny,1.8875e-5
40000,iloczyn_skalarny,1.875e-5
40000,iloczyn_skalarny,1.8791e-5
40000,iloczyn_skalarny,1.875e-5
40000,iloczyn_skalarny,1.875e-5
40000,iloczyn_skalarny,1.8791e-5
40000,iloczyn_skalarny,1.8709e-5
40000,iloczyn_skalarny,1.875e-5
50000,iloczyn_skalarny,2.3459e-5
50000,iloczyn_skalarny,2.3416e-5
50000,iloczyn_skalarny,2.3416e-5
50000,iloczyn_skalarny,2.3416e-5
50000,iloczyn_skalarny,2.3417e-5
50000,iloczyn_skalarny,2.3459e-5
50000,iloczyn_skalarny,2.3375e-5
50000,iloczyn_skalarny,2.3375e-5
50000,iloczyn_skalarny,2.3417e-5
50000,iloczyn_skalarny,2.3458e-5
60000,iloczyn_skalarny,2.8167e-5
60000,iloczyn_skalarny,2.8125e-5
60000,iloczyn_skalarny,2.8167e-5
60000,iloczyn_skalarny,2.8167e-5
60000,iloczyn_skalarny,2.8042e-5
60000,iloczyn_skalarny,2.8042e-5
60000,iloczyn_skalarny,2.8167e-5
60000,iloczyn_skalarny,2.8083e-5
60000,iloczyn_skalarny,2.8166e-5
60000,iloczyn_skalarny,2.8125e-5
70000,iloczyn_skalarny,3.2834e-5
70000,iloczyn_skalarny,3.2792e-5
70000,iloczyn_skalarny,3.275e-5
70000,iloczyn_skalarny,3.275e-5
70000,iloczyn_skalarny,3.2792e-5
70000,iloczyn_skalarny,3.2875e-5
70000,iloczyn_skalarny,3.2875e-5
70000,iloczyn_skalarny,3.3708e-5
70000,iloczyn_skalarny,3.2875e-5
70000,iloczyn_skalarny,3.2833e-5
80000,iloczyn_skalarny,3.7459e-5
80000,iloczyn_skalarny,3.7625e-5
80000,iloczyn_skalarny,3.75e-5
80000,iloczyn_skalarny,3.7541e-5
80000,iloczyn_skalarny,3.7583e-5
80000,iloczyn_skalarny,3.75e-5
80000,iloczyn_skalarny,3.75e-5
80000,iloczyn_skalarny,3.7458e-5
80000,iloczyn_skalarny,3.7458e-5
80000,iloczyn_skalarny,3.75e-5
90000,iloczyn_skalarny,4.2167e-5
90000,iloczyn_skalarny,4.2083e-5
90000,iloczyn_skalarny,4.225e-5
90000,iloczyn_skalarny,4.2209e-5
90000,iloczyn_skalarny,4.2167e-5
90000,iloczyn_skalarny,4.2166e-5
90000,iloczyn_skalarny,4.2125e-5
90000,iloczyn_skalarny,4.2083e-5
90000,iloczyn_skalarny,4.2292e-5
90000,iloczyn_skalarny,4.2083e-5
100000,iloczyn_skalarny,4.6833e-5
100000,iloczyn_skalarny,4.6875e-5
100000,iloczyn_skalarny,4.6792e-5
100000,iloczyn_skalarny,4.6875e-5
100000,iloczyn_skalarny,4.6791e-5
100000,iloczyn_skalarny,4.6917e-5
100000,iloczyn_skalarny,4.6875e-5
100000,iloczyn_skalarny,4.6834e-5
100000,iloczyn_skalarny,4.6875e-5
100000,iloczyn_skalarny,4.6917e-5
1000,mnozenie_macierzy,0.000704042
1000,mnozenie_macierzy,0.007564875
1000,mnozenie_macierzy,0.000646958
1000,mnozenie_macierzy,0.000676583
1000,mnozenie_macierzy,0.000447208
1000,mnozenie_macierzy,0.000801583
1000,mnozenie_macierzy,0.000714042
1000,mnozenie_macierzy,0.005765417
1000,mnozenie_macierzy,0.000658542
1000,mnozenie_macierzy,0.000625083
2000,mnozenie_macierzy,0.003484667
2000,mnozenie_macierzy,0.002850458
2000,mnozenie_macierzy,0.003138417
2000,mnozenie_macierzy,0.002944041
2000,mnozenie_macierzy,0.002674584
2000,mnozenie_macierzy,0.002795708
2000,mnozenie_macierzy,0.002852125
2000,mnozenie_macierzy,0.00277375
2000,mnozenie_macierzy,0.002781
2000,mnozenie_macierzy,0.002751666
3000,mnozenie_macierzy,0.00861575
3000,mnozenie_macierzy,0.009793917
3000,mnozenie_macierzy,0.006327875
3000,mnozenie_macierzy,0.0072775
3000,mnozenie_macierzy,0.008272709
3000,mnozenie_macierzy,0.008185958
3000,mnozenie_macierzy,0.0061845
3000,mnozenie_macierzy,0.006516083
3000,mnozenie_macierzy,0.008409209
3000,mnozenie_macierzy,0.008328292
4000,mnozenie_macierzy,0.016673625
4000,mnozenie_macierzy,0.017016542
4000,mnozenie_macierzy,0.029968042
4000,mnozenie_macierzy,0.10137075
4000,mnozenie_macierzy,0.087831792
4000,mnozenie_macierzy,0.013327292
4000,mnozenie_macierzy,0.013431083
4000,mnozenie_macierzy,0.013438125
4000,mnozenie_macierzy,0.013424416
4000,mnozenie_macierzy,0.016072416
5000,mnozenie_macierzy,0.024442625
5000,mnozenie_macierzy,0.035176917
5000,mnozenie_macierzy,0.031747792
5000,mnozenie_macierzy,0.032101333
5000,mnozenie_macierzy,0.032528917
5000,mnozenie_macierzy,0.031472333
5000,mnozenie_macierzy,0.032461542
5000,mnozenie_macierzy,0.031969792
5000,mnozenie_macierzy,0.032179625
5000,mnozenie_macierzy,0.032345666
6000,mnozenie_macierzy,0.033177625
6000,mnozenie_macierzy,0.03256775
6000,mnozenie_macierzy,0.033536834
6000,mnozenie_macierzy,0.032741375
6000,mnozenie_macierzy,0.033243083
6000,mnozenie_macierzy,0.031305041
6000,mnozenie_macierzy,0.03161125
6000,mnozenie_macierzy,0.0317385
6000,mnozenie_macierzy,0.031472
6000,mnozenie_macierzy,0.031434334
7000,mnozenie_macierzy,0.043311375
7000,mnozenie_macierzy,0.04234125
7000,mnozenie_macierzy,0.054697
7000,mnozenie_macierzy,0.117296125
7000,mnozenie_macierzy,0.042247416
7000,mnozenie_macierzy,0.045232541
7000,mnozenie_macierzy,0.042180291
7000,mnozenie_macierzy,0.04250575
7000,mnozenie_macierzy,0.042806833
7000,mnozenie_macierzy,0.044788834
8000,mnozenie_macierzy,0.061703708
8000,mnozenie_macierzy,0.059344416
8000,mnozenie_macierzy,0.059875875
8000,mnozenie_macierzy,0.057862375
8000,mnozenie_macierzy,0.060365083
8000,mnozenie_macierzy,0.061024791
8000,mnozenie_macierzy,0.060352083
8000,mnozenie_macierzy,0.058790125
8000,mnozenie_macierzy,0.059016125
8000,mnozenie_macierzy,0.057224084
9000,mnozenie_macierzy,0.075920417
9000,mnozenie_macierzy,0.073202334
9000,mnozenie_macierzy,0.073077375
9000,mnozenie_macierzy,0.074925166
9000,mnozenie_macierzy,0.073336083
9000,mnozenie_macierzy,0.073244875
9000,mnozenie_macierzy,0.0744845
9000,mnozenie_macierzy,0.073689417
9000,mnozenie_macierzy,0.074145666
9000,mnozenie_macierzy,0.073887792
10000,mnozenie_macierzy,0.103022625
10000,mnozenie_macierzy,0.103302583
10000,mnozenie_macierzy,0.093133083
10000,mnozenie_macierzy,0.091966292
10000,mnozenie_macierzy,0.097121208
10000,mnozenie_macierzy,0.098670958
10000,mnozenie_macierzy,0.096066875
10000,mnozenie_macierzy,0.094140417
10000,mnozenie_macierzy,0.093176083
10000,mnozenie_macierzy,0.09180025
